EmployeeID,Age,Gender,MaritalStatus,Education,LevelBand,LevelBandNum,Department,Location,ShiftType,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,YearsSinceLastPromo,PromotionsLast3Yrs,Salary_Annual,MarketRateRatio,HikePercentLast,BonusPct,ManagerRating,TeamSize,DistanceFromHome,JobSatisfaction,EnvSatisfaction,RelationshipSat,WorkLifeBalance,AvgSatisfaction,PerformanceRating,AwardsReceived,RecognitionsReceived,TrainingLastYear,Leaves_30d,Leaves_90d,Leaves_180d,Leaves_365d,SickLeave_Annual,OverTime,BusinessTravel,NumCompaniesWorked,WFH_DaysPerWeek,AttritionProb_True,AttritionBinary,Attrition,IsUnderpaid,IsSeverelyUnderpaid,PayGapPct,StagnationIndex,RecognitionGap,LeaveSpike30,LeaveSpike90,LeaveVelocity,SatComposite,SatBelow2,OT_LowSat,WFH_SatInteraction,TravelDistance,IsNewJoiner,IsVeteran,CompanyLoyaltyScore,IsJobHopper,IsDisruptiveShift,IsFullWFH,IsMarried,CompositeRiskFlags,AttritionProb,RiskCategory
ML10000,22,Female,Divorced,PhD,P3B,8,Engineering,Pune,Day,6,5,3,0,3,0,2179359,0.81,10.1,12.1,5,10,8,1,4,4,3,3.0,2,1,0,6,1,5,5,9,3,Yes,Rare,7,0,0.5498,0,No,1,0,19.0,6,1,0,0,1.5,2.65,0,1,0,0,0,0,6.0,1,0,0,0,3,0.38,High
ML10001,27,Other,Divorced,Bachelor,P2B,5,Operations,Pune,Day,8,0,0,6,2,0,1164839,1.027,6.9,5.4,2,13,57,4,4,3,3,3.5,4,0,3,5,0,1,7,13,2,No,Rare,2,1,0.0502,0,No,0,0,-2.7,4,4,0,0,1.62,3.55,0,0,4,0,0,0,1.33,0,0,0,0,0,0.1242,Low
ML10002,26,Male,Married,Master,P4,9,Operations,Bengaluru,Day,0,0,0,4,1,1,2217316,0.793,12.7,14.4,3,24,27,4,2,4,3,3.25,2,0,2,6,0,5,6,8,1,No,Rare,5,2,0.0551,0,No,1,1,20.7,0,2,0,0,8.0,3.3,0,0,8,0,1,0,0.0,1,0,0,1,1,0.1298,Low
ML10003,28,Male,Married,Diploma,P3B,8,Engineering,Bengaluru,Rotational,0,0,0,6,0,1,2141641,0.727,15.1,8.1,3,8,45,1,2,4,3,2.5,3,0,1,3,1,6,6,15,1,Yes,Rare,3,0,0.5498,1,Yes,1,1,27.3,0,3,0,0,15.0,2.25,0,1,0,0,1,0,0.0,0,1,0,1,3,0.5563,Critical
ML10004,36,Female,Married,Bachelor,P1A,1,Engineering,Mumbai,Night,1,1,1,16,4,0,509329,0.725,13.8,9.0,2,22,42,4,3,3,1,2.75,3,2,2,2,1,6,7,18,1,No,Frequent,2,1,0.5498,0,No,1,1,27.5,8,1,0,0,18.0,2.75,0,0,4,42,1,0,0.06,0,1,0,1,3,0.624,Critical
ML10005,38,Male,Married,Bachelor,P6,11,Finance,Bengaluru,Day,0,0,0,17,1,2,6530640,0.898,9.2,10.4,3,17,7,3,2,2,3,2.5,3,0,1,1,3,6,6,13,2,Yes,Rare,7,3,0.3698,0,No,1,0,10.2,0,3,1,0,13.0,2.65,0,0,9,0,1,0,0.0,1,0,0,1,3,0.2553,Medium
ML10006,25,Female,Single,Master,P3B,8,Legal,Mumbai,Day,6,0,0,5,0,1,2149886,0.762,8.8,7.4,3,6,41,2,3,4,1,2.5,3,2,0,4,1,5,5,12,7,Yes,None,1,2,0.4296,0,No,1,1,23.8,0,1,0,0,2.0,2.2,0,1,4,0,0,0,1.2,0,0,0,0,2,0.4711,Critical
ML10007,27,Female,Married,Master,P3B,8,Operations,WFH,Flexible,3,3,1,7,8,0,1982620,1.166,8.5,4.5,5,13,25,1,4,3,2,2.5,3,0,1,2,3,3,4,11,1,No,Rare,2,5,0.0939,0,No,0,0,-16.6,16,3,1,0,3.67,2.2,0,0,5,0,0,0,0.43,0,0,1,1,2,0.1702,Low
ML10008,42,Female,Married,PhD,P1B,2,Operations,Bengaluru,Day,4,4,4,22,2,0,510230,0.795,4.6,12.4,2,14,51,4,3,4,3,3.5,3,2,2,5,0,2,9,16,2,No,None,7,0,0.2028,1,Yes,1,1,20.5,4,1,0,0,4.0,3.5,0,0,0,0,0,0,0.18,1,0,0,1,1,0.1867,Medium
ML10009,47,Male,Married,Master,P2B,5,Sales,Mumbai,Day,3,2,2,27,0,2,1391622,1.017,12.5,14.6,5,11,22,3,2,3,4,3.0,3,2,2,6,0,5,5,10,2,Yes,Rare,0,0,0.0502,0,No,0,0,-1.7,0,1,0,0,3.33,3.1,0,0,0,0,0,0,0.11,0,0,0,1,1,0.0447,Low
